name,platform,url,instructor,start,complete,content_hours,has_cert
Python for Data Science and Machine Learning Bootcamp,Udemy,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,Jose Portilla,6/12/2023,11/13/2023,25,TRUE
Scientific Computing with Python,freeCodeCamp,https://www.freecodecamp.org/learn/scientific-computing-with-python/,Self-led,12/21/2023,3/19/2024,300,TRUE
Legacy Python for Everybody,freeCodeCamp,https://www.freecodecamp.org/learn/python-for-everybody/,Dr. Charles Severance,11/27/2023,11/27/2023,,FALSE
Business Analytics,Udacity,https://www.udacity.com/course/business-analytics-nanodegree--nd098,Josh Bernhard,8/17/2022,12/22/2022,24,TRUE
Django w Data Science,Udemy,https://www.udemy.com/course/django-with-data-science/?couponCode=KEEPLEARNING,Django Ninjas,4/12/2023,6/12/2023,8,TRUE
CS50's Introduction to Programming with Python,edX HarvardX,https://learning.edx.org/course/course-v1:HarvardX+CS50P+Python/home,David Malan,12/21/2022,3/1/2023,20,FALSE
HTB - Linux Fundamentals,HTB Academy,https://academy.hackthebox.com/course/preview/linux-fundamentals,Cry0l1t3,3/7/2023,3/27/2023,6,FALSE
Python Django - The Practical Guide,Udemy,https://www.udemy.com/course/python-django-the-practical-guide/,Maximilian Schwarzmuller,3/10/2023,4/12/2023,24,TRUE
100 Days of Code,Udemy,https://www.udemy.com/course/100-days-of-code/,Angela Yu,3/27/2024,9/13/2024,56.5,TRUE
