name,description,path,assignment_link,start,complete,section,lecture,repo,concepts,course
band name generator,ask user for city and pet name | combine and return as bandname,band-name-generator,https://www.udemy.com/course/100-days-of-code/learn/lecture/17837506#overview,11/1/2024,11/1/2024,Day 1,11,small-projects,input()+string manipulation+CLI,100 Days of Code
Treasure Island,create choose your own adventure game,treasure-island,https://www.udemy.com/course/100-days-of-code/learn/lecture/17965132#overview,11/1/2024,11/1/2024,Day 3,28,small-projects,input()+conditional+if+else+nested if+ascii+CLI,100 Days of Code
banker roulette,pick random name from list of names to pay the bill,random-mod,https://www.udemy.com/course/100-days-of-code/learn/lecture/40101260#overview,11/1/2024,11/1/2024,Day 4,33,small-projects,random+randint()+CLI,100 Days of Code
"rock, paper, scissors",create rock paper scissors game w random mod,rock-paper-scissors,https://www.udemy.com/course/100-days-of-code/learn/lecture/18029131#overview,11/1/2024,11/1/2024,Day 4,35,small-projects,random+randint()+CLI,100 Days of Code
highest score,loop through list of scores and return highest,loops,https://www.udemy.com/course/100-days-of-code/learn/lecture/40101290#overview,11/1/2024,11/1/2024,Day 5,39,small-projects,for loop+if+CLI,100 Days of Code
fizzbuzz,"You are going to write a program that automatically prints the solution to the FizzBuzz game. These are the rules of the FizzBuzz game:
Your program should print each number from 1 to 100 in turn and include number 100.
But when the number is divisible by 3 then instead of printing the number it should print ""Fizz"".
When the number is divisible by 5 then instead of printing the number it should print ""Buzz"".`
And if the number is divisible by both 3 and 5 e.g. 15 then instead of the number it should print ""FizzBuzz""",loops,https://www.udemy.com/course/100-days-of-code/learn/quiz/6453979#overview,11/1/2024,11/1/2024,Day 5,Coding Exercise: 6,small-projects,for loop+if+CLI+modulo,100 Days of Code
Password Generator,create a password generator,password-generator,https://www.udemy.com/course/100-days-of-code/learn/lecture/18085749#overview,11/1/2024,11/1/2024,Day 5,41,small-projects,random+randint()+CLI+for loop+range(),100 Days of Code
